ID,OrderNumber,SupermarketName,SupermarketNumber,ItemNumber,ItemName,Specification,OrderAmount,OrderDate,EstDeliverDate,Contact,ContactNumber
1,20221105210854,SM1,SM001,F00019,ItemE,D,37,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
2,20221105210854,SM1,SM001,F00096,ItemY,A,52,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
3,20221105210854,SM1,SM001,F00075,ItemS,D,46,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
4,20221105210854,SM1,SM001,F00099,ItemY,D,38,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
5,20221105210854,SM1,SM001,F00025,ItemG,B,44,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
6,20221105210854,SM1,SM001,F00066,ItemQ,C,39,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
7,20221105210854,SM1,SM001,F00051,ItemM,D,37,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
8,20221105210854,SM1,SM001,F00085,ItemV,B,36,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
9,20221105210854,SM1,SM001,F00053,ItemN,B,49,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
10,20221105210854,SM1,SM001,F00010,ItemC,C,36,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
11,20221105210854,SM1,SM001,F00057,ItemO,B,35,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
12,20221105210854,SM1,SM001,F00043,ItemK,D,45,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
13,20221105210854,SM1,SM001,F00095,ItemX,D,36,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
14,20221105210854,SM1,SM001,F00008,ItemC,A,35,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
15,20221105210854,SM1,SM001,F00069,ItemR,B,46,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
16,20221105210854,SM1,SM001,F00020,ItemF,A,37,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
17,20221105210854,SM1,SM001,F00033,ItemI,B,36,2022-11-05,2022-11-07  12:00:00,Dr.Xu,10086
