ID,OrderNumber,SupermarketName,SupermarketNumber,ItemNumber,ItemName,Specification,OrderAmount,OrderDate,EstDeliverDate,Contact,ContactNumber
1,20221108212640,SM1,SM001,F00050,ItemM,C,48,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
2,20221108212640,SM1,SM001,F00099,ItemY,D,38,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
3,20221108212640,SM1,SM001,F00022,ItemF,C,40,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
4,20221108212640,SM1,SM001,F00097,ItemY,B,38,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
5,20221108212640,SM1,SM001,F00095,ItemX,D,36,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
6,20221108212640,SM1,SM001,F00040,ItemK,A,42,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
7,20221108212640,SM1,SM001,F00046,ItemL,C,45,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
8,20221108212640,SM1,SM001,F00079,ItemT,D,41,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
9,20221108212640,SM1,SM001,F00011,ItemC,D,51,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
10,20221108212640,SM1,SM001,F00080,ItemU,A,44,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
11,20221108212640,SM1,SM001,F00056,ItemO,A,44,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
12,20221108212640,SM1,SM001,F00027,ItemG,D,39,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
13,20221108212640,SM1,SM001,F00039,ItemJ,D,37,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
14,20221108212640,SM1,SM001,F00012,ItemD,A,43,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
15,20221108212640,SM1,SM001,F00060,ItemP,A,37,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
16,20221108212640,SM1,SM001,F00070,ItemR,C,43,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
17,20221108212640,SM1,SM001,F00072,ItemS,A,44,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
18,20221108212640,SM1,SM001,F00071,ItemR,D,46,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
19,20221108212640,SM1,SM001,F00048,ItemM,A,41,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
20,20221108212640,SM1,SM001,F00053,ItemN,B,38,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
21,20221108212640,SM1,SM001,F00026,ItemG,C,39,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
22,20221108212640,SM1,SM001,F00013,ItemD,B,37,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
23,20221108212640,SM1,SM001,F00031,ItemH,D,42,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
24,20221108212640,SM1,SM001,F00032,ItemI,A,48,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
25,20221108212640,SM1,SM001,F00014,ItemD,C,33,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
26,20221108212640,SM1,SM001,F00059,ItemO,D,20,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
27,20221108212640,SM1,SM001,F00052,ItemN,A,37,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
28,20221108212640,SM1,SM001,F00019,ItemE,D,39,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
29,20221108212640,SM1,SM001,F00057,ItemO,B,49,2022-11-08,2022-11-06  11:00:00,Dr.Xu,10086
