ID,OrderNumber,SupermarketName,SupermarketNumber,ItemNumber,ItemName,Specification,OrderAmount,OrderDate,EstDeliverDate,Contact,ContactNumber
1,20221107210853,SM2,SM002,F00044,ItemL,A,36,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
2,20221107210853,SM2,SM002,F00031,ItemH,D,45,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
3,20221107210853,SM2,SM002,F00085,ItemV,B,43,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
4,20221107210853,SM2,SM002,F00078,ItemT,C,36,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
5,20221107210853,SM2,SM002,F00039,ItemJ,D,39,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
6,20221107210853,SM2,SM002,F00060,ItemP,A,33,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
7,20221107210853,SM2,SM002,F00028,ItemH,A,42,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
8,20221107210853,SM2,SM002,F00025,ItemG,B,40,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
9,20221107210853,SM2,SM002,F00045,ItemL,B,42,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
10,20221107210853,SM2,SM002,F00023,ItemF,D,36,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
11,20221107210853,SM2,SM002,F00021,ItemF,B,36,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
12,20221107210853,SM2,SM002,F00095,ItemX,D,30,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
13,20221107210853,SM2,SM002,F00096,ItemY,A,41,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
14,20221107210853,SM2,SM002,F00066,ItemQ,C,34,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
15,20221107210853,SM2,SM002,F00059,ItemO,D,47,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
16,20221107210853,SM2,SM002,F00053,ItemN,B,39,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
17,20221107210853,SM2,SM002,F00024,ItemG,A,41,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
18,20221107210853,SM2,SM002,F00065,ItemQ,B,36,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
19,20221107210853,SM2,SM002,F00080,ItemU,A,43,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
20,20221107210853,SM2,SM002,F00055,ItemN,D,42,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
21,20221107210853,SM2,SM002,F00012,ItemD,A,37,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
22,20221107210853,SM2,SM002,F00018,ItemE,C,36,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
23,20221107210853,SM2,SM002,F00083,ItemU,D,40,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
24,20221107210853,SM2,SM002,F00092,ItemX,A,44,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
25,20221107210853,SM2,SM002,F00014,ItemD,C,30,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
26,20221107210853,SM2,SM002,F00087,ItemV,D,39,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
27,20221107210853,SM2,SM002,F00009,ItemC,B,43,2022-11-07,2022-11-07  07:00:00,Dr.Zhihong,10010
