ID,SupermarketName,SupermarketNumber,ItemNumber,ItemName,Specification,OrderNumber,OrderDate,Contact,ContactNumber
1,SM1,SM001,10,ItemT,A,,2022-10-31,Dr.Xu,10086
2,SM1,SM001,36,ItemN,A,,2022-10-31,Dr.Xu,10086
3,SM1,SM001,22,ItemI,D,,2022-10-31,Dr.Xu,10086
4,SM1,SM001,4,ItemD,B,,2022-10-31,Dr.Xu,10086
5,SM1,SM001,25,ItemO,A,,2022-10-31,Dr.Xu,10086
6,SM1,SM001,46,ItemT,B,,2022-10-31,Dr.Xu,10086
7,SM1,SM001,14,ItemC,D,,2022-10-31,Dr.Xu,10086
8,SM1,SM001,30,ItemC,A,,2022-10-31,Dr.Xu,10086
9,SM1,SM001,5,ItemN,A,,2022-10-31,Dr.Xu,10086
10,SM1,SM001,75,ItemV,A,,2022-10-31,Dr.Xu,10086
11,SM1,SM001,4,ItemF,A,,2022-10-31,Dr.Xu,10086
12,SM1,SM001,74,ItemK,C,,2022-10-31,Dr.Xu,10086
13,SM1,SM001,28,ItemU,C,,2022-10-31,Dr.Xu,10086
14,SM1,SM001,3,ItemX,C,,2022-10-31,Dr.Xu,10086
15,SM1,SM001,58,ItemP,A,,2022-10-31,Dr.Xu,10086
16,SM1,SM001,3,ItemY,A,,2022-10-31,Dr.Xu,10086
17,SM1,SM001,34,ItemB,C,,2022-10-31,Dr.Xu,10086
18,SM1,SM001,10,ItemN,C,,2022-10-31,Dr.Xu,10086
19,SM1,SM001,4,ItemM,C,,2022-10-31,Dr.Xu,10086
20,SM1,SM001,18,ItemB,C,,2022-10-31,Dr.Xu,10086
21,SM1,SM001,3,ItemL,D,,2022-10-31,Dr.Xu,10086
22,SM1,SM001,11,ItemL,B,,2022-10-31,Dr.Xu,10086
23,SM1,SM001,1,ItemW,D,,2022-10-31,Dr.Xu,10086
24,SM1,SM001,7,ItemL,C,,2022-10-31,Dr.Xu,10086
25,SM1,SM001,2,ItemY,D,,2022-10-31,Dr.Xu,10086
