ID,SupermarketName,SupermarketNumber,ItemNumber,ItemName,Specification,OrderNumber,OrderDate,Contact,ContactNumber
1,SM1,SM001,10,ItemT,A,,2022-10-31,Dr.Xu,10086
2,SM1,SM001,36,ItemN,A,,2022-10-31,Dr.Xu,10086
3,SM1,SM001,22,ItemI,D,,2022-10-31,Dr.Xu,10086
4,SM1,SM001,4,ItemD,B,,2022-10-31,Dr.Xu,10086
5,SM1,SM001,25,ItemO,A,,2022-10-31,Dr.Xu,10086
6,SM1,SM001,46,ItemT,B,,2022-10-31,Dr.Xu,10086
7,SM1,SM001,14,ItemC,D,,2022-10-31,Dr.Xu,10086
8,SM1,SM001,30,ItemC,A,,2022-10-31,Dr.Xu,10086
9,SM1,SM001,5,ItemN,A,,2022-10-31,Dr.Xu,10086
10,SM1,SM001,75,ItemV,A,,2022-10-31,Dr.Xu,10086
11,SM1,SM001,4,ItemF,A,,2022-10-31,Dr.Xu,10086
12,SM1,SM001,74,ItemK,C,,2022-10-31,Dr.Xu,10086
13,SM1,SM001,28,ItemU,C,,2022-10-31,Dr.Xu,10086
14,SM1,SM001,3,ItemX,C,,2022-10-31,Dr.Xu,10086
15,SM1,SM001,58,ItemP,A,,2022-10-31,Dr.Xu,10086
16,SM1,SM001,3,ItemY,A,,2022-10-31,Dr.Xu,10086
17,SM1,SM001,34,ItemB,C,,2022-10-31,Dr.Xu,10086
18,SM1,SM001,10,ItemN,C,,2022-10-31,Dr.Xu,10086
19,SM1,SM001,4,ItemM,C,,2022-10-31,Dr.Xu,10086
20,SM1,SM001,18,ItemB,C,,2022-10-31,Dr.Xu,10086
21,SM1,SM001,3,ItemL,D,,2022-10-31,Dr.Xu,10086
22,SM1,SM001,11,ItemL,B,,2022-10-31,Dr.Xu,10086
23,SM1,SM001,1,ItemW,D,,2022-10-31,Dr.Xu,10086
24,SM1,SM001,7,ItemL,C,,2022-10-31,Dr.Xu,10086
25,SM1,SM001,2,ItemY,D,,2022-10-31,Dr.Xu,10086
1,SM1,SM001,5,ItemI,B,,2022-10-31,Dr.Xu,10086
2,SM1,SM001,39,ItemB,D,,2022-10-31,Dr.Xu,10086
3,SM1,SM001,26,ItemQ,B,,2022-10-31,Dr.Xu,10086
4,SM1,SM001,85,ItemB,C,,2022-10-31,Dr.Xu,10086
5,SM1,SM001,10,ItemP,B,,2022-10-31,Dr.Xu,10086
6,SM1,SM001,21,ItemO,C,,2022-10-31,Dr.Xu,10086
7,SM1,SM001,53,ItemU,D,,2022-10-31,Dr.Xu,10086
8,SM1,SM001,18,ItemN,B,,2022-10-31,Dr.Xu,10086
9,SM1,SM001,24,ItemX,D,,2022-10-31,Dr.Xu,10086
10,SM1,SM001,7,ItemJ,B,,2022-10-31,Dr.Xu,10086
11,SM1,SM001,41,ItemQ,B,,2022-10-31,Dr.Xu,10086
12,SM1,SM001,75,ItemF,A,,2022-10-31,Dr.Xu,10086
13,SM1,SM001,4,ItemJ,C,,2022-10-31,Dr.Xu,10086
14,SM1,SM001,48,ItemJ,B,,2022-10-31,Dr.Xu,10086
15,SM1,SM001,13,ItemT,B,,2022-10-31,Dr.Xu,10086
16,SM1,SM001,15,ItemC,C,,2022-10-31,Dr.Xu,10086
17,SM1,SM001,2,ItemX,C,,2022-10-31,Dr.Xu,10086
18,SM1,SM001,47,ItemS,A,,2022-10-31,Dr.Xu,10086
19,SM1,SM001,66,ItemP,A,,2022-10-31,Dr.Xu,10086
20,SM1,SM001,41,ItemS,B,,2022-10-31,Dr.Xu,10086
21,SM1,SM001,31,ItemN,A,,2022-10-31,Dr.Xu,10086
22,SM1,SM001,72,ItemU,D,,2022-10-31,Dr.Xu,10086
23,SM1,SM001,4,ItemY,A,,2022-10-31,Dr.Xu,10086
24,SM1,SM001,54,ItemR,C,,2022-10-31,Dr.Xu,10086
25,SM1,SM001,23,ItemO,B,,2022-10-31,Dr.Xu,10086
26,SM1,SM001,9,ItemL,C,,2022-10-31,Dr.Xu,10086
1,SM1,SM001,7,ItemJ,D,,2022-10-31,Dr.Xu,10086
2,SM1,SM001,19,ItemQ,A,,2022-10-31,Dr.Xu,10086
3,SM1,SM001,59,ItemU,C,,2022-10-31,Dr.Xu,10086
4,SM1,SM001,3,ItemE,A,,2022-10-31,Dr.Xu,10086
5,SM1,SM001,55,ItemW,B,,2022-10-31,Dr.Xu,10086
6,SM1,SM001,42,ItemH,B,,2022-10-31,Dr.Xu,10086
7,SM1,SM001,10,ItemU,A,,2022-10-31,Dr.Xu,10086
8,SM1,SM001,65,ItemF,A,,2022-10-31,Dr.Xu,10086
9,SM1,SM001,20,ItemS,C,,2022-10-31,Dr.Xu,10086
10,SM1,SM001,9,ItemP,C,,2022-10-31,Dr.Xu,10086
11,SM1,SM001,32,ItemJ,B,,2022-10-31,Dr.Xu,10086
12,SM1,SM001,6,ItemN,B,,2022-10-31,Dr.Xu,10086
13,SM1,SM001,69,ItemQ,D,,2022-10-31,Dr.Xu,10086
14,SM1,SM001,7,ItemA,C,,2022-10-31,Dr.Xu,10086
15,SM1,SM001,83,ItemH,D,,2022-10-31,Dr.Xu,10086
16,SM1,SM001,64,ItemQ,D,,2022-10-31,Dr.Xu,10086
17,SM1,SM001,30,ItemN,C,,2022-10-31,Dr.Xu,10086
18,SM1,SM001,1,ItemY,D,,2022-10-31,Dr.Xu,10086
19,SM1,SM001,23,ItemH,A,,2022-10-31,Dr.Xu,10086
20,SM1,SM001,13,ItemK,C,,2022-10-31,Dr.Xu,10086
21,SM1,SM001,17,ItemI,B,,2022-10-31,Dr.Xu,10086
22,SM1,SM001,8,ItemK,B,,2022-10-31,Dr.Xu,10086
23,SM1,SM001,49,ItemW,A,,2022-10-31,Dr.Xu,10086
24,SM1,SM001,39,ItemR,A,,2022-10-31,Dr.Xu,10086
25,SM1,SM001,69,ItemQ,D,,2022-10-31,Dr.Xu,10086
26,SM1,SM001,55,ItemF,D,,2022-10-31,Dr.Xu,10086
27,SM1,SM001,27,ItemW,B,,2022-10-31,Dr.Xu,10086
28,SM1,SM001,37,ItemI,D,,2022-10-31,Dr.Xu,10086
29,SM1,SM001,1,ItemO,C,,2022-10-31,Dr.Xu,10086
30,SM1,SM001,28,ItemA,A,,2022-10-31,Dr.Xu,10086
31,SM1,SM001,16,ItemH,D,,2022-10-31,Dr.Xu,10086
32,SM1,SM001,3,ItemO,A,,2022-10-31,Dr.Xu,10086
33,SM1,SM001,59,ItemS,A,,2022-10-31,Dr.Xu,10086
34,SM1,SM001,5,ItemV,C,,2022-10-31,Dr.Xu,10086
1,SM1,SM001,48,ItemS,C,,2022-10-31,Dr.Xu,10086
2,SM1,SM001,5,ItemR,A,,2022-10-31,Dr.Xu,10086
3,SM1,SM001,6,ItemD,A,,2022-10-31,Dr.Xu,10086
4,SM1,SM001,19,ItemY,B,,2022-10-31,Dr.Xu,10086
5,SM1,SM001,6,ItemY,A,,2022-10-31,Dr.Xu,10086
6,SM1,SM001,34,ItemJ,D,,2022-10-31,Dr.Xu,10086
7,SM1,SM001,1,ItemQ,C,,2022-10-31,Dr.Xu,10086
8,SM1,SM001,49,ItemT,B,,2022-10-31,Dr.Xu,10086
9,SM1,SM001,29,ItemK,D,,2022-10-31,Dr.Xu,10086
10,SM1,SM001,3,ItemG,B,,2022-10-31,Dr.Xu,10086
11,SM1,SM001,92,ItemF,D,,2022-10-31,Dr.Xu,10086
12,SM1,SM001,60,ItemO,A,,2022-10-31,Dr.Xu,10086
13,SM1,SM001,61,ItemI,C,,2022-10-31,Dr.Xu,10086
14,SM1,SM001,3,ItemV,B,,2022-10-31,Dr.Xu,10086
15,SM1,SM001,8,ItemC,C,,2022-10-31,Dr.Xu,10086
16,SM1,SM001,69,ItemB,D,,2022-10-31,Dr.Xu,10086
17,SM1,SM001,13,ItemX,B,,2022-10-31,Dr.Xu,10086
18,SM1,SM001,7,ItemC,C,,2022-10-31,Dr.Xu,10086
19,SM1,SM001,3,ItemT,C,,2022-10-31,Dr.Xu,10086
20,SM1,SM001,9,ItemE,B,,2022-10-31,Dr.Xu,10086
21,SM1,SM001,17,ItemP,A,,2022-10-31,Dr.Xu,10086
22,SM1,SM001,14,ItemM,D,,2022-10-31,Dr.Xu,10086
23,SM1,SM001,31,ItemE,B,,2022-10-31,Dr.Xu,10086
24,SM1,SM001,3,ItemT,C,,2022-10-31,Dr.Xu,10086
25,SM1,SM001,5,ItemJ,D,,2022-10-31,Dr.Xu,10086
26,SM1,SM001,13,ItemL,B,,2022-10-31,Dr.Xu,10086
27,SM1,SM001,22,ItemH,B,,2022-10-31,Dr.Xu,10086
28,SM1,SM001,14,ItemL,D,,2022-10-31,Dr.Xu,10086
29,SM1,SM001,10,ItemB,C,,2022-10-31,Dr.Xu,10086
30,SM1,SM001,2,ItemT,C,,2022-10-31,Dr.Xu,10086
31,SM1,SM001,3,ItemD,B,,2022-10-31,Dr.Xu,10086
32,SM1,SM001,28,ItemR,D,,2022-10-31,Dr.Xu,10086
33,SM1,SM001,11,ItemQ,D,,2022-10-31,Dr.Xu,10086
34,SM1,SM001,24,ItemA,B,,2022-10-31,Dr.Xu,10086
35,SM1,SM001,1,ItemB,A,,2022-10-31,Dr.Xu,10086
36,SM1,SM001,46,ItemP,A,,2022-10-31,Dr.Xu,10086
37,SM1,SM001,2,ItemY,D,,2022-10-31,Dr.Xu,10086
38,SM1,SM001,41,ItemH,D,,2022-10-31,Dr.Xu,10086
39,SM1,SM001,9,ItemT,A,,2022-10-31,Dr.Xu,10086
40,SM1,SM001,63,ItemO,A,,2022-10-31,Dr.Xu,10086
41,SM1,SM001,36,ItemE,B,,2022-10-31,Dr.Xu,10086
42,SM1,SM001,3,ItemR,C,,2022-10-31,Dr.Xu,10086
43,SM1,SM001,58,ItemJ,B,,2022-10-31,Dr.Xu,10086
44,SM1,SM001,6,ItemP,B,,2022-10-31,Dr.Xu,10086
45,SM1,SM001,14,ItemE,A,,2022-10-31,Dr.Xu,10086
46,SM1,SM001,66,ItemN,A,,2022-10-31,Dr.Xu,10086
47,SM1,SM001,17,ItemA,B,,2022-10-31,Dr.Xu,10086
48,SM1,SM001,34,ItemF,C,,2022-10-31,Dr.Xu,10086
49,SM1,SM001,30,ItemK,A,,2022-10-31,Dr.Xu,10086
50,SM1,SM001,17,ItemD,D,,2022-10-31,Dr.Xu,10086
51,SM1,SM001,15,ItemA,A,,2022-10-31,Dr.Xu,10086
52,SM1,SM001,9,ItemJ,A,,2022-10-31,Dr.Xu,10086
53,SM1,SM001,5,ItemR,D,,2022-10-31,Dr.Xu,10086
54,SM1,SM001,66,ItemJ,B,,2022-10-31,Dr.Xu,10086
55,SM1,SM001,53,ItemU,D,,2022-10-31,Dr.Xu,10086
