ID,OrderNumber,SupermarketName,SupermarketNumber,ItemNumber,ItemName,Specification,OrderAmount,OrderDate,EstDeliverDate,Contact,ContactNumber
1,20221106212640,SM1,SM001,F00054,ItemN,C,38,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
2,20221106212640,SM1,SM001,F00081,ItemU,B,51,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
3,20221106212640,SM1,SM001,F00088,ItemW,A,36,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
4,20221106212640,SM1,SM001,F00099,ItemY,D,35,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
5,20221106212640,SM1,SM001,F00041,ItemK,B,39,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
6,20221106212640,SM1,SM001,F00057,ItemO,B,34,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
7,20221106212640,SM1,SM001,F00060,ItemP,A,38,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
8,20221106212640,SM1,SM001,F00039,ItemJ,D,35,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
9,20221106212640,SM1,SM001,F00050,ItemM,C,38,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
10,20221106212640,SM1,SM001,F00012,ItemD,A,34,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
11,20221106212640,SM1,SM001,F00015,ItemD,D,44,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
12,20221106212640,SM1,SM001,F00069,ItemR,B,42,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
13,20221106212640,SM1,SM001,F00076,ItemT,A,28,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
14,20221106212640,SM1,SM001,F00011,ItemC,D,48,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
15,20221106212640,SM1,SM001,F00023,ItemF,D,43,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
16,20221106212640,SM1,SM001,F00089,ItemW,B,39,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
17,20221106212640,SM1,SM001,F00033,ItemI,B,38,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
18,20221106212640,SM1,SM001,F00013,ItemD,B,19,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
19,20221106212640,SM1,SM001,F00058,ItemO,C,31,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
20,20221106212640,SM1,SM001,F00045,ItemL,B,41,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
21,20221106212640,SM1,SM001,F00084,ItemV,A,39,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
22,20221106212640,SM1,SM001,F00080,ItemU,A,35,2022-11-06,2022-11-06  13:00:00,Dr.Xu,10086
